geoid,Update,cumConfirmed,cumDeaths,date,conf_incid,death_incid
15009,2020-03-19,3,0,2020-03-19,0,0
15009,2020-03-20,5,0,2020-03-20,2,0
15009,2020-03-21,5,0,2020-03-21,0,0
15009,2020-03-22,9,0,2020-03-22,4,0
15009,2020-03-23,9,0,2020-03-23,0,0
15009,2020-03-24,9,0,2020-03-24,0,0
15009,2020-03-25,9,0,2020-03-25,0,0
15009,2020-03-26,13,0,2020-03-26,4,0
15009,2020-03-27,14,0,2020-03-27,1,0
15009,2020-03-28,16,0,2020-03-28,2,0
15009,2020-03-29,16,0,2020-03-29,0,0
15009,2020-03-30,20,0,2020-03-30,4,0
15009,2020-03-31,25,0,2020-03-31,5,0
15009,2020-04-01,25,0,2020-04-01,0,0
15009,2020-04-02,26,0,2020-04-02,1,0
15009,2020-04-03,36,0,2020-04-03,10,0
15009,2020-04-04,38,0,2020-04-04,2,0
15009,2020-04-05,43,0,2020-04-05,5,0
15009,2020-04-06,44,1,2020-04-06,1,1
15009,2020-04-07,48,1,2020-04-07,4,0
15009,2020-04-08,48,1,2020-04-08,0,0
15009,2020-04-09,57,1,2020-04-09,9,0
15009,2020-04-10,57,1,2020-04-10,0,0
15009,2020-04-11,66,3,2020-04-11,9,2
15009,2020-04-12,84,3,2020-04-12,18,0
15009,2020-04-13,86,3,2020-04-13,2,0
15009,2020-04-14,88,3,2020-04-14,2,0
15009,2020-04-15,92,3,2020-04-15,4,0
15009,2020-04-16,92,3,2020-04-16,0,0
15009,2020-04-17,95,3,2020-04-17,3,0
15009,2020-04-18,104,3,2020-04-18,9,0
15009,2020-04-19,106,4,2020-04-19,2,1
15009,2020-04-20,108,4,2020-04-20,2,0
15009,2020-04-21,110,4,2020-04-21,2,0
15009,2020-04-22,110,5,2020-04-22,0,1
15009,2020-04-23,112,5,2020-04-23,2,0
15009,2020-04-24,113,5,2020-04-24,1,0
15009,2020-04-25,113,5,2020-04-25,0,0
15009,2020-04-26,113,5,2020-04-26,0,0
