"ori","dest","amount"
"36055","36051",1486
"36055","36053",84
"36055","36059",85
"36055","36061",224
"36055","36063",165
"36055","36065",55
"36055","36067",575
"36055","36069",7023
"36055","36071",110
"36055","36073",896
"36055","36075",134
"36055","36081",40
"36055","36087",15
"36055","36091",45
"36055","36093",15
"36055","36097",20
"36055","36099",220
"36055","36101",64
"36055","36103",74
"36055","36107",15
"36055","36109",48
"36055","36111",45
"36055","36113",24
"36055","36117",3446
"36055","36119",50
"36055","36121",90
"36055","36123",42
"36057","36001",2394
"36057","36005",19
"36057","36013",10
"36057","36017",4
"36057","36025",4
"36057","36027",14
"36057","36035",1413
"36057","36043",118
"36057","36047",35
"36057","36051",4
"36057","36053",4
"36057","36055",25
"36057","36059",23
"36057","36061",119
"36057","36065",105
"36057","36071",18
"36057","36075",15
"36057","36077",57
"36057","36083",184
"36057","36091",707
"36057","36093",2146
"36057","36095",53
"36057","36109",25
"36057","36111",4
"36057","36113",35
"36057","36115",73
"36057","36119",4
"36057","36121",20
"36059","36001",180
"36059","36005",6347
"36059","36007",30
"36059","36013",15
"36059","36025",4
"36059","36027",55
"36059","36029",39
"36059","36047",25221
"36059","36051",75
"36059","36053",55
"36059","36055",4
"36059","36061",94893
"36059","36065",20
"36059","36067",105
"36059","36069",55
"36059","36071",29
"36059","36075",10
"36059","36079",35
"36059","36081",70176
"36059","36083",448
"36059","36085",896
"36059","36087",206
"36059","36091",12
"36059","36103",52535
"36059","36109",19
"36059","36111",14
"36059","36113",10
"36059","36115",4
"36059","36119",3193
"36059","36121",10
"36061","36001",155
"36061","36005",27060
"36061","36007",20
"36061","36015",15
"36061","36021",50
"36061","36023",15
"36061","36027",199
"36061","36029",95
"36061","36047",23829
"36061","36051",30
"36061","36053",35
"36061","36055",40
"36061","36059",4366
"36061","36065",30
"36061","36067",45
"36061","36069",15
"36061","36071",175
"36061","36075",55
"36061","36079",55
"36061","36081",19880
"36061","36083",30
"36061","36085",1398
"36061","36087",1177
"36061","36091",50
"36061","36103",2344
"36061","36109",20
"36061","36111",145
"36061","36113",15
"36061","36115",20
"36061","36117",50
"36061","36119",9473
"36061","36121",35
"36063","36003",25
"36063","36007",10
"36063","36011",10
"36063","36013",90
"36063","36023",10
"36063","36029",33785
"36063","36037",210
"36063","36051",10
"36063","36053",10
"36063","36055",229
"36063","36059",10
"36063","36061",35
"36063","36065",55
"36063","36067",69
"36063","36069",40
"36063","36073",1220
"36063","36081",24
"36063","36099",14
"36063","36101",15
"36063","36109",15
"36063","36119",15
"36063","36121",55
"36065","36001",297
"36065","36007",14
"36065","36009",15
"36065","36011",58
"36065","36015",10
"36065","36017",36
"36065","36023",74
"36065","36027",67
"36065","36029",58
"36065","36033",4
"36065","36035",25
"36065","36043",1112
"36065","36045",4
"36065","36049",25
"36065","36051",14
"36065","36053",3786
"36065","36055",119
"36065","36057",25
"36065","36059",19
"36065","36061",49
"36065","36067",2742
"36065","36069",8
"36065","36071",29
"36065","36075",341
"36065","36077",87
"36065","36081",4
"36065","36083",19
"36065","36091",60
"36065","36093",45
"36065","36103",25
"36065","36107",4
"36065","36111",18
"36065","36115",4
"36065","36117",4
"36065","36119",8
"36067","36001",74
"36067","36003",15
"36067","36007",171
"36067","36011",2286
"36067","36013",4
"36067","36017",15
"36067","36023",1018
"36067","36027",8
"36067","36029",237
"36067","36037",20
"36067","36043",15
"36067","36045",74
"36067","36047",74
"36067","36049",10
"36067","36053",1940
"36067","36055",386
"36067","36057",15
"36067","36059",15
"36067","36061",77
"36067","36063",14
"36067","36065",1413
"36067","36069",65
"36067","36075",3326
"36067","36077",60
"36067","36079",4
"36067","36081",53
"36067","36083",14
"36067","36087",4
"36067","36091",40
"36067","36099",131
"36067","36101",45
"36067","36103",8
"36067","36107",10
"36067","36109",328
"36067","36115",65
"36067","36117",116
"36067","36119",4
"36067","36121",15
"36067","36123",20
"36069","36001",55
"36069","36011",69
"36069","36015",79
"36069","36023",20
"36069","36027",10
"36069","36029",93
"36069","36037",58
"36069","36043",10
"36069","36051",613
"36069","36053",15
"36069","36055",12339
"36069","36061",99
"36069","36065",54
"36069","36067",244
"36069","36073",18
"36069","36075",30
"36069","36079",10
"36069","36081",4
"36069","36083",10
"36069","36089",15
"36069","36097",15
"36069","36099",1405
"36069","36101",64
"36069","36109",44
"36069","36117",2484
"36069","36119",10
"36069","36121",28
"36069","36123",840
"36071","36001",178
"36071","36005",3902
"36071","36021",15
"36071","36025",10
"36071","36027",5508
"36071","36037",10
"36071","36047",1439
"36071","36051",20
"36071","36055",10
"36071","36059",237
"36071","36061",10882
"36071","36067",65
"36071","36079",454
"36071","36081",1214
"36071","36083",10
"36071","36085",120
"36071","36087",9859
"36071","36093",20
"36071","36097",15
"36071","36103",165
"36071","36105",400
"36071","36111",2688
"36071","36113",10
"36071","36119",7015
"36073","36001",35
"36073","36009",15
"36073","36011",15
"36073","36013",4
"36073","36027",4
"36073","36029",595
"36073","36037",893
"36073","36051",108
"36073","36055",6203
"36073","36059",15
"36073","36063",697
"36073","36067",33
"36073","36069",34
"36073","36099",8
"36073","36101",4
"36073","36103",4
"36073","36117",12
"36073","36121",18
"36075","36001",63
"36075","36003",20
"36075","36007",45
"36075","36011",471
"36075","36013",14
"36075","36023",102
"36075","36029",34
"36075","36043",10
"36075","36045",301
"36075","36051",15
"36075","36053",391
"36075","36055",230
"36075","36059",60
"36075","36061",39
"36075","36063",4
"36075","36065",689
"36075","36067",18012
"36075","36069",20
"36075","36071",30
"36075","36081",10
"36075","36089",10
"36075","36091",20
"36075","36099",30
"36075","36103",55
"36075","36109",86
"36075","36111",14
"36075","36113",4
"36075","36117",209
"36075","36119",40
"36077","36001",246
"36077","36007",252
"36077","36011",4
"36077","36017",314
"36077","36023",10
"36077","36025",389
"36077","36027",18
"36077","36033",4
"36077","36035",18
"36077","36043",264
"36077","36045",4
"36077","36047",14
"36077","36053",71
"36077","36055",8
"36077","36057",49
"36077","36059",47
"36077","36061",106
"36077","36065",564
"36077","36067",67
"36077","36069",4
"36077","36071",43
"36077","36075",14
"36077","36081",24
"36077","36083",28
"36077","36085",10
"36077","36091",28
"36077","36093",170
"36077","36095",57
"36077","36097",10
"36077","36103",55
"36077","36107",4
"36077","36109",4
"36077","36111",33
"36077","36119",8
"36079","36001",85
"36079","36005",1790
"36079","36007",25
"36079","36027",1437
"36079","36047",297
"36079","36055",20
"36079","36059",90
"36079","36061",4167
"36079","36067",34
"36079","36071",371
"36079","36075",15
"36079","36081",308
"36079","36085",19
"36079","36087",277
"36079","36089",15
"36079","36091",15
"36079","36103",40
"36079","36109",15
"36079","36111",64
"36079","36115",14
"36079","36119",19516
"36081","36001",213
"36081","36005",20990
"36081","36007",150
"36081","36027",472
"36081","36029",95
"36081","36031",10
"36081","36035",4
"36081","36037",20
"36081","36043",10
"36081","36047",84793
"36081","36051",40
"36081","36053",10
"36081","36055",33
"36081","36059",74804
"36081","36061",369522
"36081","36065",24
"36081","36067",30
"36081","36069",25
"36081","36071",422
"36081","36073",15
"36081","36075",20
"36081","36079",40
"36081","36083",62
"36081","36085",2079
"36081","36087",262
"36081","36091",25
"36081","36093",14
"36081","36097",10
"36081","36101",45
"36081","36103",13783
"36081","36105",10
"36081","36109",64
"36081","36111",28
"36081","36113",15
"36081","36115",50
"36081","36117",15
"36081","36119",8612
"36081","36121",40
"36083","36001",32051
"36083","36007",40
"36083","36013",20
"36083","36021",360
"36083","36027",58
"36083","36035",60
"36083","36037",15
"36083","36039",19
"36083","36055",4
"36083","36057",10
"36083","36059",25
"36083","36061",123
"36083","36065",20
"36083","36067",60
"36083","36069",20
"36083","36071",24
"36083","36081",29
"36083","36089",15
"36083","36091",3636
"36083","36093",2095
"36083","36097",10
"36083","36103",20
"36083","36107",10
"36083","36111",40
"36083","36113",158
"36083","36115",377
"36083","36119",43
"36083","36121",10
"36085","36001",30
"36085","36005",1594
"36085","36023",10
"36085","36027",10
"36085","36029",10
"36085","36047",29919
"36085","36053",30
"36085","36059",1142
"36085","36061",52694
"36085","36071",45
"36085","36081",5632
"36085","36087",163
"36085","36093",10
"36085","36103",313
"36085","36111",10
"36085","36117",15
"36085","36119",458
"36087","36001",74
"36087","36005",5647
"36087","36007",15
"36087","36011",10
"36087","36015",10
"36087","36027",363
"36087","36029",15
"36087","36037",54
"36087","36047",1490
"36087","36051",10
"36087","36055",25
"36087","36057",35
"36087","36059",483
"36087","36061",14825
"36087","36071",2036
"36087","36079",65
"36087","36081",1530
"36087","36085",157
"36087","36103",93
"36087","36105",20
"36087","36109",35
"36087","36111",59
"36087","36119",9784
"36089","36001",65
"36089","36007",4
"36089","36011",4
"36089","36013",4
"36089","36015",10
"36089","36019",4
"36089","36023",4
"36089","36027",76
"36089","36029",4
"36089","36031",4
"36089","36033",491
"36089","36045",455
"36089","36049",14
"36089","36055",28
"36089","36061",8
"36089","36063",14
"36089","36065",54
"36089","36067",106
"36089","36071",38
"36089","36075",78
"36089","36083",4
"36089","36093",4
"36089","36097",10
"36089","36099",4
"36089","36103",10
"36089","36111",8
"36089","36115",14
"36089","36117",20
"36089","36119",10
"36091","36001",24800
"36091","36015",10
"36091","36019",19
"36091","36021",50
"36091","36027",54
"36091","36029",48
"36091","36035",387
"36091","36039",20
"36091","36043",10
"36091","36045",15
"36091","36047",104
"36091","36051",10
"36091","36055",29
"36091","36057",286
"36091","36059",90
"36091","36061",147
"36091","36065",34
"36091","36067",29
"36091","36069",10
"36091","36071",10
"36091","36077",35
"36091","36079",15
"36091","36081",60
"36091","36083",4437
"36091","36087",23
"36091","36089",4
"36091","36093",10083
"36091","36103",40
"36091","36109",30
"36091","36111",19
"36091","36113",6015
"36091","36115",2151
"36091","36119",90
"36093","36001",24079
"36093","36007",15
"36093","36021",10
"36093","36027",30
"36093","36035",128
"36093","36039",30
"36093","36047",34
"36093","36055",40
"36093","36057",188
"36093","36059",38
"36093","36061",64
"36093","36065",30
"36093","36067",50
"36093","36071",20
"36093","36073",30
"36093","36077",10
"36093","36081",129
"36093","36083",2553
"36093","36087",14
"36093","36091",4274
"36093","36095",20
"36093","36103",15
"36093","36109",19
"36093","36111",14
"36093","36113",55
"36093","36115",25
"36093","36119",10
"36095","36001",2253
"36095","36007",20
"36095","36017",25
"36095","36019",15
"36095","36023",4
"36095","36025",124
"36095","36027",15
"36095","36035",4
"36095","36039",24
"36095","36047",4
"36095","36051",4
"36095","36053",14
"36095","36057",42
"36095","36061",65
"36095","36063",10
"36095","36065",14
"36095","36067",24
"36095","36069",15
"36095","36071",20
"36095","36073",4
"36095","36077",225
"36095","36081",10
"36095","36083",140
"36095","36091",137
"36095","36093",1413
"36095","36103",14
"36095","36111",14
"36095","36113",14
"36095","36115",15
"36095","36119",24
"36097","36001",12
"36097","36007",57
"36097","36011",38
"36097","36015",1182
"36097","36023",4
"36097","36055",24
"36097","36061",8
"36097","36067",4
"36097","36069",84
"36097","36071",4
"36097","36073",4
"36097","36091",4
"36097","36099",81
"36097","36101",457
"36097","36107",58
"36097","36109",1854
"36097","36111",4
"36097","36119",4
"36097","36123",266
"36099","36001",19
"36099","36007",8
"36099","36011",696
"36099","36015",24
"36099","36023",8
"36099","36027",4
"36099","36029",14
"36099","36037",16
"36099","36051",18
"36099","36053",4
"36099","36055",451
"36099","36059",4
"36099","36063",4
"36099","36067",437
"36099","36069",3060
"36099","36073",4
"36099","36075",16
"36099","36081",4
"36099","36097",94
"36099","36101",4
"36099","36109",1284
"36099","36111",4
"36099","36117",622
"36099","36123",24
"36101","36001",18
"36101","36003",328
"36101","36005",4
"36101","36007",46
"36101","36009",46
"36101","36011",4
"36101","36013",12
"36101","36015",3592
"36101","36019",4
"36101","36027",8
"36101","36029",77
"36101","36037",34
"36101","36045",4
"36101","36051",1293
"36101","36053",34
"36101","36055",829
"36101","36059",4
"36101","36061",26
"36101","36063",8
"36101","36065",20
"36101","36067",81
"36101","36069",503
"36101","36071",10
"36101","36083",4
"36101","36089",30
"36101","36093",14
"36101","36097",396
"36101","36099",26
"36101","36107",22
"36101","36109",242
