"USPS","geoid","pop2019est"
"OH","39041",209177
"CA","06025",181215
"WA","53005",204390
"GA","13117",244252
"WI","55087",187885
"CA","06089",180080
"NC","37133",197938
"SC","45015",227907
"KS","20177",176875
"NC","37025",216453
"GA","13139",204441
"IN","18163",181451
"VA","51700",179225
"FL","12091",210738
"MI","26093",191995
"CA","06017",192843
"AL","01003",223234
"NY","36111",177573
"TN","47187",238412
"PA","42019",187853
"HI","15001",201513
"IL","17143",179179
"MS","28047",208080
"SC","45007",202558
"ID","16027",229849
"GA","13215",195769
"CT","09005",180333
"FL","12109",264672
"FL","12019",219252
"LA","22019",203436
"WV","54039",178124
"AL","01125",209355
"TX","48041",229211
"AL","01117",217702
"WI","55101",196311
"AZ","04027",213787
"ME","23031",207641
"DE","10005",234225
"OH","39025",206428
"IL","17167",194672
"IN","18039",206341
"MI","26145",190539
"AZ","04015",212181
"MN","27137",199070
"GA","13245",202518
"NY","36007",190488
"CA","06113",220500
"IL","17019",209689
"WA","53073",229247
"NC","37179",239859
"NC","37129",234473
"AR","05143",239187
"OR","41029",220944
"GA","13151",234561
"VA","51760",230436
"NC","37071",224529
"VA","51013",236842
"PA","42125",206865
"NM","35013",218195
"TX","48423",232751
"OH","39155",197974
"AZ","04025",235099
"IA","19113",226706
"OH","39165",234602
"GA","13057",258773
"PA","42069",209674
"MA","25001",212990
"NY","36063",209281
"MO","29099",225081
"NY","36091",229863
"CA","06007",219186
"AR","05007",279141
"LA","22055",244390
"MO","29047",249948
"VA","51550",244835
"SC","45091",280979
"AL","01101",226486
"OH","39085",230149
"UT","49057",260213
"MD","24021",259547
"LA","22103",260419
"NY","36065",228671
"TX","48309",256623
"PA","42041",253370
"MN","27163",262440
"NC","37021",261191
"OH","39099",228683
"VA","51710",242742
"WA","53077",250873
"MD","24025",255441
"MS","28049",231840
"FL","12001",269043
"WI","55009",264542
"TX","48479",276652
"MI","26077",265066
"WA","53035",271473
"WA","53067",290536
"TX","48245",251565
"CA","06041",258826
"CO","08123",324492
"LA","22017",240204
"OK","40027",284014
"CA","06047",277680
"GA","13063",292256
"CA","06087",273213
"SC","45063",298750
"TN","47149",332285
"MI","26139",291830
"GA","13051",289430
"IN","18141",271826
"NC","37063",321488
"PA","42043",278299
"FL","12097",375751
"IL","17119",262966
"SC","45051",354081
"CA","06079",283111
"IL","17163",259686
"CT","09011",265206
"NJ","34001",263670
"IN","18057",338011
"MO","29077",293086
"FL","12073",293582
"FL","12111",328297
"TX","48303",310569
"PA","42049",269728
"MI","26065",292406
"ME","23005",295003
"SC","45083",319785
"NE","31109",319090
"CO","08035",351154
"MD","24027",325690
"NJ","34015",291636
"TX","48167",342139
"AK","02020",288000
"CO","08013",326196
"NH","33015",309769
"IL","17201",282572
"KY","21067",323152
"FL","12069",367118
"NY","36027",294218
"FL","12033",318316
"PA","42095",305285
"CO","08069",356899
"OH","39093",309833
"NY","36001",305506
"UT","49011",355481
"VA","51087",330818
"IL","17111",307774
"TX","48027",362924
"NY","36087",325789
"VA","51107",413538
"TX","48039",374264
"OR","41047",347818
"VA","51041",352802
"MO","29510",300576
"NC","37051",335509
"PA","42079",317417
"FL","12021",384902
"FL","12081",403253
"NJ","34035",328934
"MN","27003",356921
"FL","12083",365579
"AL","01089",372909
"TN","47065",367804
"TX","48355",362294
"LA","22071",390144
"MI","26161",367601
"CA","06061",398329
"PA","42077",369318
"SC","45019",411406
"NC","37067",382295
"OR","41039",382067
"IN","18003",379299
"MO","29183",402022
"PA","42129",348899
"NJ","34021",367430
"OH","39017",383134
"NY","36071",384940
"OH","39151",370606
"AZ","04021",462789
"OR","41005",418187
"FL","12115",433742
"AR","05119",391911
"SC","45079",415759
"WI","55133",404198
"ID","16001",481587
"MN","27037",429021
"NH","33011",417025
"VA","51153",470335
"TX","48061",423163
"PA","42011",421164
"AL","01097",413210
"CA","06095",447643
"CA","06053",434061
"NV","32031",471519
"TX","48491",590551
"FL","12117",471826
"CA","06083",446499
"WA","53011",488241
"MI","26049",405813
"IA","19153",490161
"TN","47093",470313
"LA","22051",432493
"PA","42133",449058
"VA","51810",449974
"LA","22033",440059
"CO","08001",517421
"OH","39095",428348
"CA","06107",466195
"NJ","34005",445349
"SC","45045",523542
"TX","48339",607391
"MA","25013",466372
"FL","12101",553947
"NY","36067",460528
"NY","36085",476143
"WA","53063",522798
"CA","06097",494336
"WI","55025",546695
"NC","37081",537174
"NJ","34027",491845
"FL","12127",553284
"MA","25023",521202
"IN","18089",485493
"KS","20173",516042
"PA","42029",524989
"NJ","34031",501826
"MN","27123",550321
"NJ","34007",506471
"CA","06099",550660
"IL","17089",532403
"UT","49049",636235
"NE","31055",571327
"PA","42071",545724
"OR","41067",601592
"CO","08059",582881
"OH","39113",531687
"NJ","34039",556341
"MD","24003",579234
"DE","10003",558753
"OH","39153",541013
"FL","12009",601942
"KS","20091",602401
"MA","25005",565217
"PA","42045",566747
"CO","08005",656590
"NJ","34029",607186
"TX","48157",811688
"CO","08031",727211
"DC","11001",705749
"FL","12105",724777
"MI","26081",656955
"OK","40143",651552
"FL","12071",770577
"MD","24510",593490
"CO","08041",720403
"PA","42017",628270
"RI","44007",638931
"TN","47037",694144
"NJ","34025",618795
"NJ","34017",672391
"AL","01073",658573
"NM","35001",679121
"TX","48121",887207
"MA","25021",706775
"MO","29095",703011
"IL","17197",690743
"CA","06077",762148
"GA","13067",760141
"GA","13089",759297
"IL","17097",696535
"WA","53061",822083
"CA","06081",766573
"OK","40109",797434
"MA","25025",803907
"OR","41051",812855
"KY","21111",766757
"MA","25009",789034
"NY","36055",741770
"TX","48215",868707
"TX","48085",1034730
"NJ","34013",798975
"WA","53053",904980
"MA","25027",830622
"PA","42091",830915
"TX","48141",839238
"OH","39061",817473
"MD","24005",827370
"CA","06075",881549
"GA","13135",936250
"NJ","34023",825062
"CA","06111",846006
"CA","06029",900202
"MI","26099",873972
"CT","09009",854757
"MD","24033",909327
"FL","12031",957755
"CT","09003",891720
"NC","37183",1111761
"IN","18097",964582
"NJ","34003",932202
"FL","12103",974996
"CT","09001",943332
"IL","17043",922921
"NY","36029",918702
"NC","37119",1110356
"GA","13121",1063937
"TN","47157",937166
"CA","06019",999101
"WI","55079",945726
"NY","36119",967506
"HI","15003",974563
"MD","24031",1050688
"AZ","04019",1047279
"MO","29189",994205
"TX","48453",1273954
"UT","49035",1160437
"CA","06013",1153526
"VA","51059",1147532
"FL","12095",1393452
"MN","27053",1265843
"OH","39049",1316756
"MI","26125",1257584
"PA","42003",1216045
"FL","12057",1471968
"OH","39035",1235072
"FL","12099",1496770
"NY","36059",1356924
"NY","36005",1418207
"CA","06067",1552058
"NY","36103",1476601
"MA","25017",1611699
"CA","06001",1671329
"PA","42101",1584064
"NY","36061",1628706
"TX","48029",2003554
"FL","12011",1952778
"CA","06085",1927852
"TX","48439",2102515
"MI","26163",1749343
"WA","53033",2252782
"NV","32003",2266715
"CA","06071",2180085
"CA","06065",2470546
"NY","36081",2253858
"TX","48113",2635516
"FL","12086",2716940
"NY","36047",2559903
"CA","06059",3175692
"CA","06073",3338330
"AZ","04013",4485414
"TX","48201",4713325
"IL","17031",5150233
"CA","06037",10039107
"MP","69000",57552
"PR","72000",3725789
"GU","66000",164229
"AS","60000",56188
"VI","78000",112640
