"USPS","geoid","pop2019est"
"MO","29179",6270
"TX","48111",7287
"CO","08055",6897
"MO","29211",6089
"IL","17047",6395
"MO","29075",6571
"NV","32027",6725
"MI","26131",5720
"GA","13065",6618
"KY","21075",5969
"TN","47067",6620
"VA","51021",6280
"LA","22023",6973
"MN","27107",6375
"KY","21057",6614
"NE","31021",6459
"GA","13263",6195
"GA","13283",6901
"TX","48283",7520
"IL","17009",6578
"NE","31173",7224
"VA","51097",7025
"ID","16029",7155
"KS","20167",6856
"VT","50013",7235
"KS","20145",6414
"OR","41063",7208
"MT","30077",6890
"ID","16015",7831
"AK","02240",6893
"TX","48075",7306
"VA","51640",6347
"VA","51678",7446
"KS","20197",6931
"VA","51181",6422
"SD","46009",6901
"WY","56011",7584
"IA","19093",6860
"SD","46047",6713
"TX","48495",8010
"UT","49025",7886
"KY","21181",7269
"MO","29045",6797
"WV","54093",6839
"TX","48017",7000
"WY","56045",6927
"TX","48175",7658
"TX","48047",7093
"NE","31127",6972
"VA","51036",6963
"MN","27073",6623
"AR","05147",6320
"NE","31139",7148
"CO","08065",8127
"IA","19151",6619
"IL","17071",6646
"SD","46067",7291
"KY","21237",7157
"SD","46051",7052
"CO","08113",8179
"MT","30105",7396
"VA","51157",7370
"TX","48391",6948
"ND","38067",6801
"GA","13309",7855
"OR","41025",7393
"IA","19071",6960
"OR","41023",7199
"AK","02270",7459
"WI","55091",7287
"IN","18161",7054
"AK","02188",7621
"OK","40093",7629
"IL","17169",6768
"NE","31095",7046
"WA","53019",7627
"IA","19177",7044
"IA","19195",7381
"WV","54073",7460
"WV","54013",7109
"AR","05073",6624
"ND","38061",10545
"IA","19001",7152
"MT","30057",8600
"WV","54071",6969
"PA","42053",7247
"GA","13243",6778
"MS","28063",6990
"LA","22035",6861
"ID","16077",7681
"TX","48377",6704
"KS","20067",7150
"MO","29041",7426
"TN","47095",7016
"NE","31121",7755
"KY","21063",7517
"TX","48437",7397
"KS","20095",7152
"TN","47027",7615
"TN","47169",11284
"TX","48501",8713
"MO","29057",7561
"KY","21129",7403
"OR","41037",7869
"KS","20193",7777
"TN","47135",8076
"ID","16059",8027
"KS","20043",7600
"IA","19135",7707
"OK","40141",7250
"GA","13181",7921
"TX","48069",7530
"KS","20003",7858
"AR","05039",7009
"MS","28037",7713
"ND","38097",8036
"AR","05095",6701
"AR","05129",7881
"WV","54017",8448
"SD","46033",8972
"MS","28119",6792
"IL","17003",5761
"KY","21007",7888
"CO","08021",8205
"CO","08063",7097
"TX","48307",7984
"KY","21143",8210
"AR","05101",7753
"GA","13165",8676
"SD","46125",8384
"NE","31147",7865
"FL","12077",8354
"NE","31101",8034
"GA","13003",8165
"NE","31023",8016
"ND","38057",8187
"TN","47083",8201
"MO","29061",8278
"AZ","04011",9498
"MO","29203",8166
"IL","17065",8116
"IA","19053",7870
"MI","26153",8094
"KY","21023",8303
"TX","48425",9128
"IN","18171",8265
"TX","48193",8461
"WY","56043",7805
"KS","20027",8002
"MS","28019",8210
"KY","21091",8722
"WY","56019",8445
"VA","51620",7967
"KY","21077",8869
"KS","20031",8179
"MI","26135",8241
"WY","56031",8393
"AR","05025",7956
"WV","54021",7823
"MN","27029",8818
"NE","31107",8332
"AR","05117",8062
"WV","54075",8247
"MN","27101",8194
"GA","13253",8090
"MS","28009",8259
"GA","13197",8359
"IA","19051",9000
"ID","16035",8756
"KY","21223",8471
"MO","29137",8644
"NE","31027",8402
"IN","18007",8748
"MI","26013",8209
"NC","37075",8441
"TX","48405",8237
"FL","12067",8422
"OK","40151",8793
"AK","02220",8493
"TX","48083",8175
"IA","19117",8600
"GA","13269",8020
"GA","13287",7985
"MO","29081",8352
"ND","38055",9450
"MT","30021",8613
"VA","51115",8834
"AR","05099",8252
"GA","13289",8120
"NM","35037",8253
"TX","48237",8935
"AL","01063",8111
"TX","48009",8553
"CO","08019",9700
"LA","22081",8442
"MT","30095",9642
"GA","13209",9172
"NE","31081",9324
"SD","46023",9292
"NE","31039",8846
"WV","54101",8114
"MO","29125",8697
"NE","31045",8589
"NE","31137",9034
"WV","54095",8591
"UT","49019",9754
"TX","48043",9203
