ori,dest,amount
55065,55025,1040
55065,55035,26
55065,55043,2182
55065,55045,1880
55065,55049,1456
55065,55063,6
55065,55079,10
55065,55081,18
55065,55085,10
55065,55103,16
55065,55105,56
55065,55111,30
55065,55117,10
55065,55125,6
55065,55127,4
55065,55133,6
55065,55139,14
55067,55003,6
55067,55009,36
55067,55015,8
55067,55017,18
55067,55019,10
55067,55025,34
55067,55027,8
55067,55029,4
55067,55039,6
55067,55041,278
55067,55047,6
55067,55053,14
55067,55055,10
55067,55069,354
55067,55071,8
55067,55073,1512
55067,55075,8
55067,55078,48
55067,55079,26
55067,55083,96
55067,55085,434
55067,55087,26
55067,55089,20
55067,55097,26
55067,55105,4
55067,55113,6
55067,55115,512
55067,55117,10
55067,55119,6
55067,55125,70
55067,55131,2
55067,55133,8
55067,55135,34
55067,55139,14
55067,55141,26
55069,55001,2
55069,55009,22
55069,55017,26
55069,55019,50
55069,55021,34
55069,55025,44
55069,55031,2
55069,55033,16
55069,55035,32
55069,55037,10
55069,55039,16
55069,55055,6
55069,55067,202
55069,55073,7140
55069,55079,10
55069,55081,16
55069,55085,1628
55069,55087,16
55069,55097,42
55069,55099,112
55069,55101,16
55069,55107,6
55069,55113,24
55069,55115,14
55069,55117,22
55069,55119,206
55069,55125,52
55069,55127,16
55069,55131,24
55069,55133,20
55069,55135,26
55069,55137,18
55069,55141,92
55071,55005,8
55071,55009,4026
55071,55015,2898
55071,55021,30
55071,55025,58
55071,55027,46
55071,55029,42
55071,55035,10
55071,55039,330
55071,55041,4
55071,55057,8
55071,55061,892
55071,55063,38
55071,55073,10
55071,55075,32
55071,55079,234
55071,55081,16
55071,55083,8
55071,55087,826
55071,55089,104
55071,55097,26
55071,55101,18
55071,55105,12
55071,55115,6
55071,55117,7392
55071,55125,6
55071,55131,102
55071,55133,50
55071,55135,76
55071,55139,578
55071,55141,4
55073,55001,20
55073,55009,330
55073,55011,6
55073,55017,62
55073,55019,1636
55073,55021,10
55073,55025,174
55073,55027,44
55073,55029,20
55073,55031,4
55073,55033,24
55073,55035,66
55073,55039,6
55073,55041,14
55073,55043,34
55073,55053,60
55073,55057,18
55073,55059,4
55073,55061,72
55073,55063,52
55073,55067,484
55073,55069,2032
55073,55071,26
55073,55075,4
55073,55078,2
55073,55079,56
55073,55081,4
55073,55083,24
55073,55085,80
55073,55087,118
55073,55093,12
55073,55095,38
55073,55097,2608
55073,55099,10
55073,55107,4
55073,55109,6
